Date,^KS11,^N225,^BVSP,^DJI,^FTSE,^RUT,NQ=F,^GSPC,^BSESN,^FCHI,^GDAXI,^HSI,^MXX,^STOXX50E,^STI,^TWII,^AXJO,^GSPTSE
2025-10-20,3814.68994140625,49185.5,144509.0,46706.578125,9403.599609375,2499.909912109375,25305.25,6735.1298828125,84363.3671875,8206.0703125,24258.80078125,25858.830078125,61672.3515625,5680.93017578125,4328.93017578125,27688.630859375,9031.900390625,30416.400390625
2025-10-21,3823.840087890625,49316.05859375,144085.0,46924.73828125,9427.0,2487.68994140625,25294.75,6735.35009765625,84426.34375,8258.8603515625,24330.029296875,26027.55078125,60773.78125,5686.830078125,4381.0498046875,27752.41015625,9094.7001953125,29888.80078125
2025-10-22,3883.679931640625,49307.7890625,144873.0,46590.41015625,9515.0,2451.550048828125,25039.25,6699.39990234375,84426.34375,8206.8701171875,24151.130859375,25781.76953125,61308.19921875,5639.2099609375,4393.919921875,27648.91015625,9030.0,29983.0
2025-10-23,3845.56005859375,48641.609375,145721.0,46734.609375,9578.599609375,2482.659912109375,25254.0,6738.43994140625,84556.3984375,8225.7802734375,24207.7890625,25967.98046875,61511.94921875,5668.330078125,4416.27001953125,27532.259765625,9032.7998046875,30186.30078125
2025-10-24,3941.590087890625,49299.6484375,146172.0,47207.12109375,9645.599609375,2513.469970703125,25509.25,6791.68994140625,84211.8828125,8225.6298828125,24239.890625,26160.150390625,61145.48828125,5674.5,4422.2099609375,27532.259765625,9019.0,30353.099609375
2025-10-27,4042.830078125,50512.3203125,146969.0,47544.58984375,9653.7998046875,2520.43994140625,25963.75,6875.16015625,84778.84375,8239.1796875,24308.779296875,26433.69921875,61860.30078125,5711.06005859375,4440.2998046875,27993.630859375,9055.599609375,30275.80078125
2025-10-28,4010.409912109375,50219.1796875,147429.0,47706.37109375,9696.7001953125,2506.64990234375,26163.5,6890.89013671875,84628.15625,8216.580078125,24278.630859375,26346.140625,62795.23828125,5704.35009765625,4450.35986328125,27949.109375,9012.5,30419.69921875
2025-10-29,4081.14990234375,51307.6484375,148633.0,47632.0,9756.099609375,2484.81005859375,26262.5,6890.58984375,84997.1328125,8200.8798828125,24124.2109375,26346.140625,63352.8515625,5705.81005859375,4440.2099609375,28294.740234375,8926.2001953125,30144.80078125
2025-10-30,4086.889892578125,51325.609375,148780.0,47522.12109375,9760.099609375,2465.949951171875,25882.75,6822.33984375,84404.4609375,8157.2900390625,24118.890625,26282.689453125,62889.859375,5699.18017578125,4437.43994140625,28287.529296875,8885.5,30179.0
2025-10-31,4107.5,52411.33984375,149540.0,47562.87109375,9717.2998046875,2479.3798828125,26004.0,6840.2001953125,83938.7109375,8121.06982421875,23958.30078125,25906.650390625,62769.1796875,5662.0400390625,4428.6201171875,28233.349609375,8881.900390625,30260.69921875
