Date,^CNXAUTO,^CNXCONSUM,NIFTY_FIN_SERVICE.NS,^CNXPHARMA,^CNXSERVICE,^NSEBANK,^CNXIT,^CNXMEDIA,MOCAPITAL.NS,^NSEI,^CNXFMCG,MOTOUR.NS,^CNXMETAL,CPSEETF.NS,HDFCSML250.NS,^CNXMNC,^CNXREALTY,MODEFENCE.NS,^CNXCMDT,NIFTYMIDCAP150.NS,^CNXENERGY,HDFCPVTBAN.NS,^CRSLDX,^NSMIDCP,OILIETF.NS,^CNXINFRA,^CNXPSUBANK
2024-11-27,,,,21828.599609375,,52301.80078125,44018.69921875,,,24274.900390625,,,,92.25,176.2100067138672,,,72.19999694824219,,20838.19921875,,25.829999923706055,22691.69921875,70185.3984375,11.050000190734863,,
2024-11-28,,,,21728.599609375,,51906.8515625,42968.75,,,23914.150390625,,,,91.52999877929688,176.02000427246094,,,73.33000183105469,,20839.900390625,,25.6200008392334,22514.349609375,70254.25,11.029999732971191,,
2024-11-29,,,,22240.19921875,,52055.6015625,43146.25,,,24131.099609375,,,,91.62999725341797,177.5800018310547,,,73.37999725341797,,20906.650390625,,25.559999465942383,22687.0,70726.8515625,11.149999618530273,,
2024-12-02,,,,22450.19921875,,52109.0,43547.0,,,24276.05078125,,,,91.54000091552734,179.1300048828125,,,73.5199966430664,,21105.94921875,,25.59000015258789,22835.849609375,71164.3515625,11.1899995803833,,
2024-12-03,,,,22445.69921875,,52695.75,43754.94921875,,,24457.150390625,,,,92.58000183105469,180.86000061035156,,,74.04000091552734,,21291.349609375,,25.850000381469727,23020.849609375,71890.75,11.319999694824219,,
2024-12-04,,,,22422.900390625,,53266.8984375,43949.25,,,24467.44921875,,,,92.44999694824219,182.3699951171875,,,75.08000183105469,,21485.150390625,,26.0,23099.5,72244.8515625,11.289999961853027,,
2024-12-05,,,,22463.400390625,,53603.55078125,44806.3984375,,,24708.400390625,,,,92.52999877929688,182.72000122070312,,,75.41999816894531,,21577.650390625,,26.229999542236328,23277.94921875,72487.046875,11.34000015258789,,
2024-12-06,,,,22434.75,,53509.5,44716.05078125,,,24677.80078125,,,,92.66999816894531,184.14999389648438,,,75.66000366210938,,21665.400390625,,26.309999465942383,23312.099609375,73040.3984375,11.380000114440918,,
2024-12-09,,,,22309.099609375,,53407.75,44832.0,,,24619.0,,,,92.5,185.02999877929688,,,75.91999816894531,,21748.5,,26.239999771118164,23292.0,72708.1015625,11.329999923706055,,
2024-12-10,,,,22291.44921875,,53577.69921875,45199.75,,,24610.05078125,,,,92.2699966430664,184.92999267578125,,,75.79000091552734,,21809.099609375,,26.15999984741211,23314.900390625,73096.453125,11.289999961853027,,
2024-12-11,,,,22302.599609375,,53391.3515625,45350.3515625,,,24641.80078125,,,,92.16999816894531,186.00999450683594,,,76.0999984741211,,21879.55078125,,26.139999389648438,23358.150390625,73292.1484375,11.289999961853027,,
2024-12-12,,,,22229.30078125,,53216.44921875,45701.6484375,,,24548.69921875,,,,91.44000244140625,184.32000732421875,,,76.0199966430664,,21770.05078125,,26.1200008392334,23256.400390625,73082.6015625,11.180000305175781,,
2024-12-13,,,,22157.349609375,,53583.80078125,45995.80078125,,,24768.30078125,,,,91.62999725341797,183.8000030517578,,,75.7699966430664,,21748.099609375,,26.219999313354492,23358.94921875,72965.953125,11.239999771118164,,
2024-12-16,,,,22255.55078125,,53581.3515625,45653.6015625,,,24668.25,,,,91.33999633789062,184.52000427246094,,,76.70999908447266,,21898.80078125,,26.209999084472656,23352.44921875,73155.6015625,11.15999984741211,,
2024-12-17,,,,22074.55078125,,52834.80078125,45413.75,,,24336.0,,,,90.22000122070312,183.0399932861328,,,76.91000366210938,,21754.099609375,,25.90999984741211,23095.75,72188.0,10.979999542236328,,
2024-12-18,,,,22314.55078125,,52139.55078125,45526.8515625,,,24198.849609375,,,,88.37000274658203,182.17999267578125,,,75.08000183105469,,21623.099609375,,25.540000915527344,22934.400390625,71250.0,10.890000343322754,,
2024-12-19,,,,22697.900390625,,51575.69921875,44954.19921875,,,23951.69921875,,,,87.69000244140625,181.55999755859375,,,74.18000030517578,,21571.30078125,,25.530000686645508,22752.150390625,70625.703125,10.850000381469727,,
2024-12-20,,,,22501.849609375,,50759.19921875,43771.05078125,,,23587.5,,,,85.80999755859375,178.22999572753906,,,72.13999938964844,,21050.599609375,,24.959999084472656,22319.400390625,68702.6484375,10.6899995803833,,
2024-12-23,,,,22572.05078125,,51317.6015625,43828.3515625,,,23753.44921875,,,,85.80999755859375,177.3000030517578,,,71.80999755859375,,21076.150390625,,25.059999465942383,22412.30078125,68888.953125,10.760000228881836,,
2024-12-24,,,,22558.900390625,,51233.0,43668.8984375,,,23727.650390625,,,,85.58999633789062,177.38999938964844,,,72.37000274658203,,21080.69921875,,25.209999084472656,22402.69921875,68857.25,10.8100004196167,,
2024-12-26,,,,22712.55078125,,51170.69921875,43664.25,,,23750.19921875,,,,85.87999725341797,177.4499969482422,,,72.33999633789062,,21096.849609375,,25.079999923706055,22430.349609375,69165.8515625,10.829999923706055,,
